"Conflux Payment","Conflux 支付"
"Conflux Credit Card","Conflux Credit Card"
"Credit Card","Credit Card"
"Conflux Hosted Checkout","Conflux 收银台支付"
"Enabled","启用"
"Title","标题"
"New Order Status","新订单状态"
"API Base URL","API 基础地址"
"Enter the full Conflux API base URL, including https://","请输入完整的 Conflux API 基础地址，包含 https://"
"Merchant ID","商户 ID"
"API Key","API Key"
"Hosted Checkout URL","收银台 URL"
"Payment from Applicable Countries","适用国家"
"Payment from Specific Countries","指定国家"
"Minimum Order Total","最小订单金额"
"Maximum Order Total","最大订单金额"
"Sort Order","排序"
"Continue to Conflux Checkout","继续到 Conflux 收银台"
"We could not find the order for Conflux checkout.","找不到 Conflux 收银台订单。"
"The order is not using Conflux hosted checkout.","该订单未使用 Conflux 收银台支付。"
"Conflux hosted checkout URL is not configured.","Conflux 收银台 URL 尚未配置。"
"App ID","App ID"
"App Secret","App Secret"
"Merchant Number","商户号"
"Gateway Number","网关号"
"Checkout Expires In Seconds","收银台有效期秒数"
"The order is not using a Conflux payment method.","该订单未使用 Conflux 支付方式。"
"Conflux payment was completed successfully.","Conflux payment was completed successfully."
"Conflux payment was initialized. Flow order: %1","Conflux payment was initialized. Flow order: %1"
"Your payment could not be completed. Please try another card or contact your bank.","Your payment could not be completed. Please try another card or contact your bank."
"Your payment could not be completed. Please try another card or contact your bank. Reason: %1","Your payment could not be completed. Please try another card or contact your bank. Reason: %1"
"Conflux App ID or App Secret is not configured.","Conflux App ID 或 App Secret 尚未配置。"
"Conflux API base URL is not configured correctly.","Conflux API 基础地址配置不正确。"
"We could not find the order for Conflux direct payment.","找不到 Conflux 直连支付订单。"
"The order is not using Conflux direct payment.","该订单未使用 Conflux 直连支付。"
"Card Number","Card Number"
"Card","Card"
"Expiration Date","Expiration Date"
"CVV","CVV"
"Please enter a supported credit card number.","Please enter a supported credit card number."
"Please enter a valid credit card expiry date.","Please enter a valid credit card expiry date."
"Please enter a valid credit card security code.","Please enter a valid credit card security code."
"Please enter complete credit card information.","Please enter complete credit card information."
"The credit card type is not supported by Conflux.","The credit card type is not supported by Conflux."
